Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;11;15;0;0;6.98;86.00;0.00;-999.00;0.00;9.73;38.99
2019;11;15;1;0;6.60;88.00;0.00;0.00;0.00;13.04;62.02
2019;11;15;2;0;5.92;84.00;0.10;0.00;0.00;15.19;36.33
2019;11;15;3;0;5.47;84.00;0.00;0.00;0.00;14.11;5.86
2019;11;15;4;0;5.61;86.00;0.20;0.00;0.00;15.19;354.56
2019;11;15;5;0;5.63;89.00;0.60;0.00;0.00;18.00;360.00
2019;11;15;6;0;5.10;88.00;0.70;0.00;0.00;19.13;355.68
2019;11;15;7;0;4.76;89.00;0.90;0.00;0.00;17.65;343.41
2019;11;15;8;0;4.45;90.00;1.10;0.00;0.00;15.46;335.22
2019;11;15;9;0;4.40;89.00;1.10;0.00;11.57;15.12;321.77
2019;11;15;10;0;4.99;87.00;0.90;0.00;85.44;14.19;305.71
2019;11;15;11;0;5.53;88.00;0.90;0.00;128.16;11.84;289.54
2019;11;15;12;0;5.88;88.00;1.00;0.00;80.10;9.00;270.00
2019;11;15;13;0;3.18;91.00;1.80;0.00;37.38;3.55;23.96
2019;11;15;14;0;3.27;91.00;1.10;0.00;71.20;1.44;270.00
2019;11;15;15;0;3.55;90.00;0.70;0.00;90.78;3.32;192.53
2019;11;15;16;0;3.62;90.00;0.40;0.00;66.75;7.57;182.73
2019;11;15;17;0;3.57;91.00;0.50;0.00;32.93;9.42;186.58
2019;11;15;18;0;3.48;91.00;0.60;0.00;0.00;12.26;183.37
2019;11;15;19;0;3.60;91.00;0.60;0.00;0.00;15.52;176.01
2019;11;15;20;0;3.40;90.00;0.40;0.00;0.00;18.42;175.52
2019;11;15;21;0;3.63;90.00;0.20;0.00;0.00;17.31;176.42
2019;11;15;22;0;4.20;90.00;0.10;0.00;0.00;14.93;164.62
2019;11;15;23;0;4.74;92.00;0.10;0.00;0.00;18.19;152.93
2019;11;16;0;0;4.91;91.00;0.10;0.00;0.00;19.65;151.56
2019;11;16;1;0;5.26;90.00;0.00;0.00;0.00;21.13;171.18
2019;11;16;2;0;5.29;91.00;0.00;0.00;0.00;18.01;177.71
2019;11;16;3;0;5.20;91.00;0.00;0.00;0.00;15.58;173.37
2019;11;16;4;0;5.25;93.00;0.00;0.00;0.00;12.76;163.61
2019;11;16;5;0;5.36;92.00;0.00;0.00;0.00;13.98;145.49
2019;11;16;6;0;5.18;91.00;0.00;0.00;0.00;17.71;142.43
2019;11;16;7;0;4.98;90.00;0.00;0.00;0.00;18.84;153.92
2019;11;16;8;0;4.50;91.00;0.00;0.00;0.00;17.88;154.98
2019;11;16;9;0;4.70;89.00;0.00;0.00;31.15;17.56;151.86
2019;11;16;10;0;5.45;86.00;0.00;0.00;102.35;16.49;148.39
2019;11;16;11;0;6.32;82.00;0.00;0.00;178.00;16.43;151.19
2019;11;16;12;0;7.73;76.00;0.00;0.00;292.81;17.40;155.56
2019;11;16;13;0;7.54;74.00;0.00;0.00;177.11;15.14;154.65
2019;11;16;14;0;8.29;70.00;0.00;0.00;254.54;16.07;164.41
2019;11;16;15;0;8.67;67.00;0.00;0.00;233.18;15.39;169.22
2019;11;16;16;0;8.72;67.00;0.00;0.00;165.54;13.85;171.03
2019;11;16;17;0;8.36;68.00;0.00;0.00;50.73;11.66;171.12
2019;11;16;18;0;8.12;69.00;0.00;0.00;0.00;9.89;169.51
2019;11;16;19;0;8.02;69.00;0.00;0.00;0.00;6.16;173.29
2019;11;16;20;0;8.08;70.00;0.00;0.00;0.00;1.08;180.00
2019;11;16;21;0;8.23;67.00;0.00;0.00;0.00;2.28;71.57
2019;11;16;22;0;8.25;67.00;0.00;0.00;0.00;4.02;63.43
2019;11;16;23;0;7.93;70.00;0.00;0.00;0.00;5.86;42.51
2019;11;17;0;0;7.35;79.00;0.00;0.00;0.00;7.10;59.53
2019;11;17;1;0;7.00;80.00;0.00;0.00;0.00;7.97;71.57
2019;11;17;2;0;6.08;82.00;0.00;0.00;0.00;6.57;80.54
2019;11;17;3;0;5.16;83.00;0.00;0.00;0.00;5.94;75.96
2019;11;17;4;0;4.60;84.00;0.00;0.00;0.00;6.13;93.37
2019;11;17;5;0;4.03;85.00;0.00;0.00;0.00;5.24;105.95
2019;11;17;6;0;3.23;89.00;0.00;0.00;0.00;3.22;63.43
2019;11;17;7;0;2.69;90.00;0.00;0.00;0.00;5.50;58.39
2019;11;17;8;0;1.88;92.00;0.00;0.00;0.00;6.49;70.56
2019;11;17;9;0;1.40;92.00;0.00;45.71;43.61;5.32;61.70
2019;11;17;10;0;2.20;87.00;0.00;0.00;169.10;5.90;52.43
2019;11;17;11;0;3.58;81.00;0.00;0.00;274.12;6.13;49.76
2019;11;17;12;0;5.49;75.00;0.00;60.00;343.54;7.75;21.80
2019;11;17;13;0;8.21;66.00;0.00;59.62;379.14;14.99;24.10
2019;11;17;14;0;8.80;63.00;0.00;44.68;362.23;15.84;21.32
2019;11;17;15;0;9.08;62.00;0.00;38.30;297.26;15.94;25.41
2019;11;17;16;0;8.97;61.00;0.00;0.00;188.68;15.04;21.04
2019;11;17;17;0;8.38;63.00;0.00;0.00;69.42;13.28;12.53
2019;11;17;18;0;7.81;68.00;0.00;0.00;0.00;12.24;360.00
2019;11;17;19;0;7.29;72.00;0.00;0.00;0.00;12.26;356.63
2019;11;17;20;0;6.78;75.00;0.00;0.00;0.00;13.49;350.79
2019;11;17;21;0;6.27;77.00;0.00;0.00;0.00;12.50;348.37
2019;11;17;22;0;5.64;80.00;0.00;0.00;0.00;10.93;342.76
2019;11;17;23;0;4.81;84.00;0.00;0.00;0.00;11.11;335.10
2019;11;18;0;0;4.10;88.00;0.00;0.00;0.00;11.18;326.82
2019;11;18;1;0;3.50;91.00;0.00;0.00;0.00;11.46;316.27
2019;11;18;2;0;2.89;94.00;0.00;0.00;0.00;12.54;309.17
2019;11;18;3;0;3.17;95.00;0.00;0.00;0.00;11.12;299.05
2019;11;18;4;0;3.78;93.00;0.00;0.00;0.00;10.59;287.82
2019;11;18;5;0;4.79;90.00;0.00;0.00;0.00;12.90;292.99
2019;11;18;6;0;5.24;90.00;0.00;0.00;0.00;15.78;297.15
2019;11;18;7;0;5.23;90.00;0.00;0.00;0.00;14.84;284.04
2019;11;18;8;0;5.38;91.00;0.20;0.00;0.00;16.52;281.31
2019;11;18;9;0;6.13;88.00;0.40;0.00;37.38;16.95;282.26
2019;11;18;10;0;6.84;87.00;0.90;0.00;93.45;18.13;276.84
2019;11;18;11;0;7.90;86.00;0.70;0.00;88.11;17.58;292.89
2019;11;18;12;0;8.39;84.00;0.50;0.00;107.69;18.79;306.43
2019;11;18;13;0;8.63;86.00;0.90;0.00;113.92;18.67;304.00
2019;11;18;14;0;8.99;85.00;0.70;0.00;102.35;17.94;308.48
2019;11;18;15;0;8.81;87.00;0.70;0.00;86.33;18.63;311.08
2019;11;18;16;0;8.77;88.00;0.90;0.00;67.64;18.84;316.55
2019;11;18;17;0;8.42;86.00;0.60;0.00;27.59;17.97;327.26
2019;11;18;18;0;8.10;84.00;0.10;0.00;0.00;18.71;329.98
2019;11;18;19;0;7.58;80.00;0.00;0.00;0.00;18.03;333.95
2019;11;18;20;0;6.85;81.00;0.00;0.00;0.00;17.60;329.24
2019;11;18;21;0;6.41;83.00;0.00;0.00;0.00;16.49;328.39
2019;11;18;22;0;6.20;84.00;0.00;0.00;0.00;14.02;330.80
2019;11;18;23;0;6.22;86.00;0.00;0.00;0.00;12.29;328.17
2019;11;19;0;0;5.93;88.00;0.00;0.00;0.00;11.59;334.23
2019;11;19;1;0;5.55;88.00;0.00;0.00;0.00;10.38;326.31
2019;11;19;2;0;5.30;89.00;0.00;0.00;0.00;8.65;315.00
2019;11;19;3;0;5.05;89.00;0.00;0.00;0.00;8.44;309.81
2019;11;19;4;0;4.75;90.00;0.00;0.00;0.00;9.39;302.47
2019;11;19;5;0;4.44;90.00;0.00;0.00;0.00;8.50;306.38
2019;11;19;6;0;4.09;90.00;0.00;0.00;0.00;6.92;308.66
2019;11;19;7;0;3.80;91.00;0.00;0.00;0.00;5.80;299.74
2019;11;19;8;0;3.49;92.00;0.00;0.00;0.00;3.88;291.80
2019;11;19;9;0;3.47;91.00;0.00;0.00;19.58;1.84;281.31
2019;11;19;10;0;3.57;91.00;0.00;0.00;73.87;0.72;270.00
2019;11;19;11;0;3.83;89.00;0.00;0.00;113.03;1.48;194.04
2019;11;19;12;0;4.39;87.00;0.00;0.00;170.88;1.61;153.43
2019;11;19;13;0;7.85;71.00;0.00;0.00;362.23;1.80;323.13
2019;11;19;14;0;8.32;63.00;0.00;60.00;348.88;3.42;341.57
2019;11;19;15;0;8.27;62.00;0.00;0.00;223.39;1.14;71.57
2019;11;19;16;0;8.16;61.00;0.00;0.00;173.55;2.90;119.74
2019;11;19;17;0;7.58;62.00;0.00;0.00;64.08;3.83;131.19
2019;11;19;18;0;7.42;59.00;0.00;2.80;0.00;4.33;138.37
2019;11;19;19;0;7.31;61.00;0.00;0.00;0.00;4.39;145.01
2019;11;19;20;0;7.26;62.00;0.00;0.00;0.00;4.90;143.97
2019;11;19;21;0;7.09;64.00;0.00;0.00;0.00;5.69;124.70
2019;11;19;22;0;6.48;70.00;0.00;0.00;0.00;7.15;130.91
2019;11;19;23;0;5.06;75.00;0.00;0.00;0.00;8.59;146.98
2019;11;20;0;0;3.92;79.00;0.00;0.00;0.00;7.90;136.85
2019;11;20;1;0;3.13;82.00;0.00;0.00;0.00;7.39;136.97
2019;11;20;2;0;2.53;83.00;0.00;0.00;0.00;7.90;133.15
2019;11;20;3;0;1.97;84.00;0.00;0.00;0.00;6.99;124.51
2019;11;20;4;0;1.51;85.00;0.00;0.00;0.00;6.03;107.35
2019;11;20;5;0;1.14;86.00;0.00;0.00;0.00;6.85;93.01
2019;11;20;6;0;0.72;88.00;0.00;0.00;0.00;7.21;92.86
2019;11;20;7;0;0.41;90.00;0.00;0.00;0.00;8.05;100.30
2019;11;20;8;0;0.29;89.00;0.00;0.00;0.00;8.56;104.62
2019;11;20;9;0;0.99;86.00;0.00;49.68;42.72;9.11;108.43
2019;11;20;10;0;2.56;79.00;0.00;53.68;174.44;9.36;112.62
2019;11;20;11;0;4.40;73.00;0.00;55.79;279.46;10.16;112.93
2019;11;20;12;0;6.10;67.00;0.00;57.51;347.99;12.10;112.75
2019;11;20;13;0;6.99;61.00;0.00;57.70;376.47;14.12;109.36
2019;11;20;14;0;7.85;59.00;0.00;56.17;359.56;16.28;108.03
2019;11;20;15;0;8.22;59.00;0.00;57.70;298.15;17.19;109.57
2019;11;20;16;0;8.01;61.00;0.00;59.23;189.57;16.75;115.46
2019;11;20;17;0;7.12;65.00;0.00;60.00;59.63;14.99;114.10
2019;11;20;18;0;6.39;69.00;0.00;7.44;0.00;13.45;105.52
2019;11;20;19;0;5.63;74.00;0.00;0.00;0.00;14.24;106.14
2019;11;20;20;0;4.89;77.00;0.00;0.00;0.00;12.57;113.63
2019;11;20;21;0;4.33;79.00;0.00;0.00;0.00;12.10;112.75
2019;11;20;22;0;3.85;82.00;0.00;0.00;0.00;11.75;117.35
2019;11;20;23;0;3.42;86.00;0.00;0.00;0.00;10.88;124.22
2019;11;21;0;0;3.10;88.00;0.00;0.00;0.00;10.64;113.96
2019;11;21;1;0;2.53;90.00;0.00;0.00;0.00;11.18;123.18
2019;11;21;2;0;2.53;89.00;0.00;0.00;0.00;11.21;132.40
2019;11;21;3;0;2.06;91.00;0.00;0.00;0.00;11.02;141.63
2019;11;21;4;0;1.57;94.00;0.00;0.00;0.00;11.30;157.52
2019;11;21;5;0;1.47;95.00;0.00;0.00;0.00;10.03;158.96
2019;11;21;6;0;1.55;95.00;0.00;0.00;0.00;9.66;153.43
2019;11;21;7;0;1.41;95.00;0.00;0.00;0.00;9.66;153.43
2019;11;21;8;0;1.37;95.00;0.00;0.00;0.00;10.19;147.99
2019;11;21;9;0;1.78;94.00;0.00;0.00;24.92;10.79;154.29
2019;11;21;10;0;2.72;92.00;0.00;0.00;122.82;11.50;159.86
2019;11;21;11;0;5.01;82.00;0.00;0.00;255.43;10.83;158.55
2019;11;21;12;0;7.54;73.00;0.00;56.74;336.42;11.97;158.84
2019;11;21;13;0;9.37;67.00;0.00;56.36;355.11;15.18;157.69
2019;11;21;14;0;10.59;65.00;0.00;59.81;338.20;16.97;162.72
2019;11;21;15;0;11.22;64.00;0.00;56.17;282.13;17.56;164.54
2019;11;21;16;0;11.34;63.00;0.00;45.96;187.79;17.56;164.54
2019;11;21;17;0;10.80;66.00;0.00;0.00;48.95;14.69;168.69
2019;11;21;18;0;10.49;69.00;0.00;0.00;0.00;13.76;173.99
2019;11;21;19;0;9.93;76.00;0.00;0.00;0.00;18.56;198.08
2019;11;21;20;0;8.63;86.00;0.00;0.00;0.00;18.25;194.86
2019;11;21;21;0;8.34;89.00;0.80;0.00;0.00;17.21;195.78
2019;11;21;22;0;8.20;88.00;0.50;0.00;0.00;17.65;182.34
2019;11;21;23;0;8.10;88.00;0.20;0.00;0.00;17.73;185.83
2019;11;22;0;0;8.12;88.00;0.00;0.00;0.00;19.59;197.10
2019;11;22;1;0;7.81;86.00;0.00;0.00;0.00;19.16;208.01
2019;11;22;2;0;7.44;88.00;0.00;0.00;0.00;18.56;198.08
2019;11;22;3;0;7.11;90.00;0.00;0.00;0.00;18.51;193.50
2019;11;22;4;0;7.06;90.00;0.00;0.00;0.00;18.81;185.49
2019;11;22;5;0;7.20;89.00;0.00;0.00;0.00;18.72;180.00
2019;11;22;6;0;7.40;86.00;0.00;0.00;0.00;18.37;182.25
2019;11;22;7;0;7.53;84.00;0.00;0.00;0.00;14.56;171.47
2019;11;22;8;0;7.43;84.00;0.00;0.00;0.00;16.75;154.54
2019;11;22;9;0;7.33;83.00;0.00;0.00;32.93;17.56;151.86
2019;11;22;10;0;7.97;78.00;0.00;19.15;153.97;16.90;153.43
